scenario,biome,loc,type,period,n,areaW_mean_abs_aqueous,areaW_mean_abs_bicarbonate,areaW_mean_abs_carbonate,areaW_mean_abs_dic,areaW_mean_abs_pCO2,areaW_mean_abs_pH,areaW_mean_abs_tos,sd_abs_aqueous,sd_abs_bicarbonate,sd_abs_carbonate,sd_abs_dic,sd_abs_pCO2,sd_abs_pH,sd_abs_tos,min_abs_aqueous,min_abs_bicarbonate,min_abs_carbonate,min_abs_dic,min_abs_pCO2,min_abs_pH,min_abs_tos,max_abs_aqueous,max_abs_bicarbonate,max_abs_carbonate,max_abs_dic,max_abs_pCO2,max_abs_pH,max_abs_tos,se_abs_aqueous,se_abs_bicarbonate,se_abs_carbonate,se_abs_dic,se_abs_pCO2,se_abs_pH,se_abs_tos,areaW_mean_delta_aqueous,areaW_mean_delta_bicarbonate,areaW_mean_delta_carbonate,areaW_mean_delta_dic,areaW_mean_delta_pCO2,areaW_mean_delta_pH,areaW_mean_delta_tos,sd_delta_aqueous,sd_delta_bicarbonate,sd_delta_carbonate,sd_delta_dic,sd_delta_pCO2,sd_delta_pH,sd_delta_tos,min_delta_aqueous,min_delta_bicarbonate,min_delta_carbonate,min_delta_dic,min_delta_pCO2,min_delta_pH,min_delta_tos,max_delta_aqueous,max_delta_bicarbonate,max_delta_carbonate,max_delta_dic,max_delta_pCO2,max_delta_pH,max_delta_tos,se_delta_aqueous,se_delta_bicarbonate,se_delta_carbonate,se_delta_dic,se_delta_pCO2,se_delta_pH,se_delta_tos,p_s
ssp245,NP_SPSS,NP,SPSS,1850s,90696,12.77527321,1792.712047,149.2332531,1954.720573,270.9924393,8.172839041,8.639789749,2.368523674,76.2792282,27.19613159,71.52280496,25.27332296,0.037047088,4.365524838,7.616319179,1399.87369,81.8579579,1522.724746,155.1605097,7.942634745,-1.725955606,25.08225419,2017.23488,248.1391349,2137.748639,446.4808246,8.353659401,27.76370239,0.007864727,0.253286605,0.090305264,0.237492813,0.083920542,0.000123016,0.014495807,-3.671988856,-58.51223537,24.93757013,-37.24665409,-83.49666352,0.10118141,-0.476113263,0.699750407,13.12461636,4.93663543,9.132890478,10.09112241,0.010828451,0.499336751,-6.544059325,-107.0943835,-9.158996719,-80.44680422,-137.3319122,-0.027822145,-3.247707367,0.949602134,46.40989392,44.54402281,72.02714441,25.55404765,0.15701863,2.440172195,0.002323534,0.043580534,0.01639219,0.030325934,0.033507761,3.59560748702395e-05,0.001658057,"Historical , 1850s"
ssp245,NP_SPSS,NP,SPSS,2090s,90696,24.42415573,1917.801109,92.69018731,2034.915452,575.8355102,7.885011849,11.86577314,4.027614337,78.71080547,17.67667038,79.96069649,43.57710466,0.035607439,4.5288221,15.14726366,1414.803006,40.36112605,1505.249144,373.4697632,7.697871857,-1.053979158,41.93949089,2108.2998,163.2605857,2208.401424,827.1028796,8.066881466,32.27446747,0.013373769,0.261360703,0.058695715,0.26551099,0.144698592,0.000118235,0.015038039,7.976893666,66.57682696,-31.60549562,42.94822501,221.3464074,-0.186645781,2.749870123,1.434428945,21.15770096,7.790436531,15.32097664,20.90647148,0.014582106,1.0582622,2.822718514,-51.01066603,-65.95066522,-79.95678815,85.7241923,-0.365817738,-0.364062786,15.06283529,164.2148497,-7.023332717,138.6189782,441.4488281,-0.080059306,6.928804398,0.004763048,0.070254542,0.02586829,0.05087359,0.06942033,4.84201574905963e-05,0.003513979,"SSP2-4.5 , 2090s"
ssp245,NP_STPS,NP,STPS,1850s,210300,8.28438276,1650.849228,250.3447203,1909.478331,290.5955938,8.151723021,25.06059144,0.834249021,57.84540271,24.76241743,54.65637542,22.01632383,0.029842155,3.838430799,6.456868847,1382.686633,151.184974,1592.178944,224.2856262,8.061423747,11.43236065,11.69840647,1812.775849,285.0141975,2021.471819,383.4745107,8.255675697,30.85283279,0.001819182,0.12613895,0.053997469,0.119184888,0.048009277,6.50744557610292e-05,0.008370166,-2.245103417,-78.62063728,31.20149796,-49.66424274,-84.91465916,0.089434713,-0.727334743,0.362009106,9.922065538,3.491139267,7.634815467,6.845169659,0.007048018,0.330580736,-3.991856414,-116.062852,14.03278464,-91.70998787,-127.5382172,0.050673532,-1.689863205,-1.408152939,-40.57911017,46.40477821,-15.91623009,-58.7250824,0.12450072,1.112910271,0.000789405,0.021636273,0.007612855,0.016648646,0.014926727,1.53690624201412e-05,0.000720872,"Historical , 1850s"
ssp245,NP_STPS,NP,STPS,2090s,210300,16.06718078,1847.320805,168.9699803,2032.357966,600.0297934,7.892264091,27.73999991,1.664349509,66.32284437,19.96620624,67.59613679,34.16594819,0.024539852,3.896283863,13.45779948,1529.829664,90.09040501,1678.92435,493.4917297,7.787547143,12.94202423,23.21622503,2026.11732,196.0355629,2177.98145,753.6091882,7.975283813,33.62505341,0.003629317,0.144625045,0.043538746,0.147401614,0.074503014,5.3512138312165e-05,0.008496322,5.537694608,117.8509391,-50.17324214,73.21539159,224.5195404,-0.170024217,1.952073728,0.628579232,20.56049615,5.581389967,17.88574512,13.62697719,0.009850482,0.516452816,3.769000502,49.58814971,-65.13451484,-2.286635146,180.4972127,-0.211013238,0.219743729,8.459853313,166.7746828,-28.91751922,114.7615147,294.420343,-0.130141942,4.252754211,0.001370694,0.044834668,0.012170901,0.039002047,0.029715284,2.14801760893067e-05,0.001126188,"SSP2-4.5 , 2090s"
ssp245,NP_STSS,NP,STSS,1850s,40572,9.155615448,1701.920992,215.7688574,1926.845465,266.4231543,8.185099283,18.22562233,1.063441065,58.37632871,27.83844147,52.35908096,24.98651015,0.034554352,4.345199791,7.238597311,1523.897724,139.983743,1719.769845,188.5823069,8.047195403,6.097132206,12.68021321,1882.252478,278.2698875,2052.715899,380.2126221,8.310190996,30.19620323,0.00527959,0.289816809,0.138207531,0.259943407,0.124048751,0.00017155,0.021572304,-2.715755706,-79.22720377,31.75321677,-50.18974272,-83.19838718,0.096757735,-0.452943262,0.439377698,8.770978517,2.914204195,6.278772843,10.62304446,0.007829358,0.394183836,-4.737436772,-103.6037715,17.83346466,-71.32633928,-129.7269,0.063930511,-1.856805801,-1.842068661,-39.20392993,41.06419302,-20.79984618,-49.62684682,0.127139359,2.031356335,0.002181347,0.043544653,0.014467942,0.031171777,0.052739474,3.88698547207573e-05,0.001956976,"Historical , 1850s"
ssp245,NP_STSS,NP,STSS,2090s,40572,18.50011692,1888.723891,137.2216007,2044.445609,579.5062222,7.900530132,20.95712331,2.102365282,61.66465341,20.94002236,62.16522564,49.58838311,0.034201878,4.539380107,14.63275522,1672.820542,83.24085773,1824.117021,438.116923,7.787699477,7.014646053,26.51644218,2058.35799,193.6991511,2177.476142,755.9424036,7.999779097,33.39865875,0.010437463,0.306142121,0.10395944,0.308627276,0.24618792,0.0001698,0.022536338,6.628745767,107.5756952,-46.79403998,67.41040097,229.8846807,-0.187811416,2.27855772,0.749025469,18.73758526,6.56717315,14.06574081,19.48985984,0.010085353,0.697421413,4.916771414,51.44258183,-64.68621769,30.58593055,176.8065694,-0.228205283,-0.739999771,11.02598719,155.6141295,-24.98396425,114.5658187,310.1853351,-0.148028803,4.614332199,0.003718633,0.093025157,0.032603578,0.069831183,0.096759922,5.00700339818716e-05,0.003462439,"SSP2-4.5 , 2090s"
ssp245,Pac_EQU_E,Pac,EQU,1850s,72264,9.495617856,1707.165333,237.0367101,1953.697661,341.3285788,8.098513759,25.95192092,0.905441488,67.40089226,16.39561444,67.02439465,23.47883263,0.020149359,1.859008417,6.224543045,1307.950696,166.1776356,1494.130166,223.0468866,7.962542009,19.7931385,15.29382874,1897.277568,282.4709568,2086.224545,510.5443359,8.200903378,29.71651649,0.003368212,0.250729045,0.060991133,0.249328487,0.087340465,7.49549355718487e-05,0.006915449,-1.924396419,-59.59919447,22.52969568,-38.99389521,-79.2611165,0.073578494,-0.984820209,0.174482354,8.525604083,3.24160269,6.236171223,5.632474125,0.006013077,0.292135049,-2.916504027,-98.74112351,-3.717053626,-79.10514242,-101.0831828,0.010102081,-2.173032761,0.613625006,25.30109363,32.49517654,25.26539008,-4.309503174,0.097792969,0.528181076,0.000649068,0.03171496,0.012058653,0.023198347,0.020952614,2.23684432363229e-05,0.001086733,"Historical , 1850s"
ssp245,Pac_EQU_E,Pac,EQU,2090s,72264,16.48555165,1869.841629,173.0053186,2059.332499,642.1267243,7.871578053,29.31479702,1.162058989,62.46476529,10.99997484,64.79363093,29.31631687,0.01517943,1.899159758,12.75751342,1503.061559,122.3720655,1651.469774,505.0023157,7.777627516,21.81868553,21.95322133,2015.77136,204.6754948,2180.69115,783.6330953,7.93979105,33.17481995,0.00432282,0.23236682,0.040919535,0.241030121,0.10905571,5.64669683748347e-05,0.00706481,5.065537375,103.0771012,-41.50169588,66.64094265,221.5370289,-0.153357212,2.37805589,0.519910346,19.82144301,6.04924973,17.16401832,13.52244059,0.008693081,0.735230659,3.457672998,32.93107846,-60.05029536,-14.36555881,162.913269,-0.197239399,-0.355361938,8.213725787,180.5313032,-21.77849924,155.5885479,303.993104,-0.110242939,4.52730751,0.001934049,0.073735099,0.022503005,0.063849569,0.050303023,3.2337968533793e-05,0.002735033,"SSP2-4.5 , 2090s"
ssp245,Pac_EQU_W,Pac,EQU,1850s,52356,8.015568892,1630.955623,270.8037391,1909.774931,312.2316199,8.125065616,29.13586473,0.562058029,42.80575383,13.50794681,46.2633161,20.66382798,0.02298293,0.846122799,6.560841826,1469.749806,210.1497067,1734.711499,252.3387248,8.071631368,25.24381638,9.459301809,1746.698355,294.9768354,2014.702478,362.4651347,8.195662785,30.8045311,0.002456393,0.187076364,0.05903453,0.20218714,0.090308275,0.000100444,0.003697857,-1.838018973,-65.802095,29.30438417,-38.33572981,-79.54347531,0.079098741,-0.918545907,0.119445397,9.346422143,3.767571328,8.179301819,5.378901542,0.005284942,0.291844852,-2.177671922,-114.0638099,18.95744684,-88.9680385,-96.41078308,0.061724186,-1.685283661,-1.312176548,-23.710592,41.03794936,6.265378759,-56.95651855,0.095092964,0.31671524,0.000522019,0.040847188,0.016465626,0.035746457,0.023507712,2.30970754165821e-05,0.001275466,"Historical , 1850s"
ssp245,Pac_EQU_W,Pac,EQU,2090s,52356,14.65754711,1802.621384,187.2556803,2004.534611,604.1966335,7.888763134,31.79707612,0.62870683,41.7276757,7.216124918,46.44893954,26.20648231,0.017142016,0.906858586,13.11730239,1651.674545,156.0472585,1829.981363,524.8177277,7.835887957,28.15821457,16.46083578,1904.690943,204.6306318,2113.85506,684.4126078,7.922680664,33.58346558,0.002747672,0.182364779,0.031537032,0.202998381,0.114531645,7.49167046986983e-05,0.003963294,4.80395924,105.863666,-54.24367468,56.42395058,212.4215383,-0.157203741,1.742665482,0.375331446,26.65161404,6.311695197,28.39860439,13.22447451,0.00890561,0.471449904,3.460909729,32.87158451,-70.76074701,-19.30117293,168.6253428,-0.185952473,0.0944767,5.821207969,187.3156664,-33.03208701,149.4565477,250.5950012,-0.127071365,3.137807846,0.001640332,0.116477029,0.027584352,0.124111998,0.057795656,3.89206803078947e-05,0.002060404,"SSP2-4.5 , 2090s"
