"","variable","biome","loc","type","seasonal_sd","seasonal_range","spatial_sd","spatial_range","total_area_km2","mean","areaW_mean","sd","min","max","se"
"16","dic","IND_STPS","IND","STPS",8.34657470123276,23.0310722082163,51.9622747975643,235.188498942058,4389596574.79992,1975.15434409549,1972.3459247964,53.2965440062336,1790.75,2097.35986328125,0.0871445083637186
"17","dic","NA_SPSS","NA","SPSS",26.945324565438,73.835609403764,125.539748551173,914.928153991699,1203358189.28354,2080.12520574995,2072.76535811948,129.170850396585,1004.91204833984,2170.31958007812,0.285485715147068
"18","dic","NA_STPS","NA","STPS",8.7762335847694,23.9729062856263,36.8044072561594,144.732244873047,2132423651.36161,2048.73730899709,2047.02196476887,38.6334054787602,1926.92272949219,2120.63671875,0.0894061868870132
"19","dic","NA_STSS","NA","STSS",19.7049464815858,52.726048212631,16.9948160928223,77.5140238444012,724326005.550699,2075.04894742648,2074.57479717712,26.946566979192,1969.89831542969,2131.7041015625,0.09723504811983
"20","dic","NP_SPSS","NP","SPSS",34.7871584312212,90.759809556391,26.9993553157688,133.088345336914,1543172092.97829,2047.8106942069,2046.84907467316,46.762318745555,1881.15454101562,2177.24877929688,0.107563552137656
"21","dic","NP_STPS","NP","STPS",7.7028114510121,20.2133866250879,36.1954263959562,149.316026814779,5013758235.04182,1954.57491305226,1952.88861497135,37.9963560253604,1849.15478515625,2055.6748046875,0.0580520041016612
"22","dic","NP_STSS","NP","STSS",25.149835815684,67.8044934265997,21.8080597640721,100.479204305013,831740386.881791,1993.102826592,1992.33301709049,34.8688505985919,1860.78344726562,2107.20727539062,0.121797018397091
"23","dic","Pac_EQU_E","Pac","EQU",3.65302235018442,12.1776037602303,48.7123927466462,207.164165242513,1816743239.09272,1984.0842647379,1984.1195668568,52.2084546484282,1812.33947753906,2114.82495117188,0.137068312165893
"24","dic","Pac_EQU_W","Pac","EQU",2.00275329898375,6.19849870066969,22.4960789299392,101.244809977213,1393863611.44212,1921.83123732095,1921.81277569246,25.5317181287434,1834.41479492188,2016.38854980469,0.0763861423116151
"25","dic","SA_STPS","SA","STPS",6.42681146160629,17.7603915447976,14.4747090344774,102.012194824218,2207132827.37751,2061.91714277448,2061.8931175416,17.274796283447,1948.97155761719,2112.86791992188,0.0393626921052744
"26","dic","SO_SPSS","SO","SPSS",8.55797701117482,22.2111615719887,20.391614773602,117.753619384766,3720886911.45829,2130.16863314684,2128.89969472065,22.838360966291,2012.11499023438,2207.03344726562,0.031690616195605
"27","dic","SO_STSS","SO","STSS",14.7305261509396,39.2062635210546,18.7916009404813,165.262717692057,3562064668.94874,2071.3100841532,2070.46669691241,25.1598931017962,1854.33227539062,2143.43701171875,0.0402324044297729
"28","dic","SP_STPS","SP","STPS",8.63843070052648,23.2624909085537,35.6605860460496,179.576669311523,6426958594.87582,2024.81292501423,2022.50805278288,37.3434630156978,1895.98168945312,2126.51098632812,0.0490005873286044
"29","spco2","Atl_EQU","Atl","EQU",3.33082531648251,9.02932680324494,14.9257857140038,53.8975331624349,902429024.900495,381.626742538054,381.633214458824,17.126986566178,323.013214111328,456.666839599609,0.0637753863233604
"30","spco2","IND_STPS","IND","STPS",8.05922263169458,19.3656875046071,15.21792057035,68.0163627624511,4391096595.89564,358.542691866027,359.327734987132,19.6181937634333,308.675415039062,417.517822265625,0.0320723173974457
"31","spco2","NA_SPSS","NA","SPSS",23.3410949318587,59.3982745590584,16.6585653083865,96.0326005299886,1223017583.89067,336.461155106457,339.927206977516,36.2835709518842,0,500.453918457031,0.0796566252723544
"32","spco2","NA_STPS","NA","STPS",13.8337956900832,34.9218650613709,7.47142633838243,41.6513145446777,2132423651.36161,365.068516561611,365.245179525762,17.8918913580956,323.223114013672,421.324615478516,0.0414057669185671
"33","spco2","NA_STSS","NA","STSS",9.60608483325608,30.9143344593335,5.18342059688266,33.206399790446,724326005.550699,351.355294878483,351.560347959291,15.7958283916687,307.270843505859,428.012237548828,0.0569982860875192
"34","spco2","NP_SPSS","NP","SPSS",17.7882425582126,47.1899446164368,16.9411047266531,104.443830998739,1554693028.2979,359.100087173385,358.808584688603,37.4010260426335,201.904205322266,592.080688476562,0.0856776694403579
"35","spco2","NP_STPS","NP","STPS",11.6194520123165,30.698362734782,8.70661828798027,60.3561927795411,5013758235.04182,360.737337677116,360.866290503715,18.7693166400752,302.579772949219,470.605926513672,0.0286763405903392
"36","spco2","NP_STSS","NP","STSS",20.0421735806993,55.7382830180408,9.35153655557009,56.1837989807129,832994544.38415,342.508160762527,342.450236411261,24.5109376594461,279.565765380859,429.707244873047,0.0855541836212758
"37","spco2","Pac_EQU_E","Pac","EQU",6.18051584323787,17.715599586199,33.428845991225,120.250127919515,1816743239.09272,421.310421460333,421.341561870881,37.1991932723187,320.021606445312,523.033203125,0.0976629296941485
"38","spco2","Pac_EQU_W","Pac","EQU",1.63666287309106,5.09030839224494,9.7546943726985,43.3210596720378,1395370604.28529,369.645377164576,369.67712061808,13.1783635192905,340.112823486328,437.411346435547,0.0394060499944798
"39","spco2","SA_STPS","SA","STPS",13.394184163482,36.0644998495752,14.0620031336103,62.9073987325033,2207132827.37751,368.964747756372,369.782252888934,21.0753395217647,304.556060791016,447.902282714844,0.0480226850144835
"40","spco2","SO_SPSS","SO","SPSS",6.32861828734348,18.5534654812105,4.77808112343893,61.9997379302978,3723278590.75838,364.919341203327,364.957694398561,11.1614359953559,249.170852661133,421.875305175781,0.0154822957136024
"41","spco2","SO_STSS","SO","STSS",5.89066855400011,15.9057415858888,10.7633670965356,90.6005231221516,3570312437.46035,345.160346299384,344.750716722154,15.4897841914958,240.268264770508,452.588897705078,0.0247426751837345
"42","spco2","SP_STPS","SP","STPS",10.8873159271749,28.3182140876079,22.7444854837646,123.547886912028,6431304732.64443,362.048207976316,362.908541667725,27.108667331384,310.267211914062,492.32177734375,0.0355598819488837
"43","sfco2","Atl_EQU","Atl","EQU",3.32360091250162,9.02252566639021,14.8691751507194,53.7007270812988,902429024.900495,380.437053693114,380.443516127125,17.0651284715886,322.002014160156,455.231811523438,0.0635450466857119
"44","sfco2","IND_STPS","IND","STPS",8.04749043799751,19.3418389691735,15.2078224816924,67.8995719909668,4391096595.89564,357.401063310119,358.186823957482,19.5945688924827,307.615753173828,416.214019775391,0.0320336948632441
"45","sfco2","NA_SPSS","NA","SPSS",23.2173005246071,59.1001326309024,16.6355067721304,95.8406224568685,1223017583.89067,335.11869230439,338.583621450943,36.1430708613334,0,498.388458251953,0.0793481726374531
