id,month,period,seas_mean_delta,seas_areaW_mean_delta,seas_sd_delta,seas_min_delta,seas_max_delta,seas_se_delta,n,scenario,var,biome,loc,type,seas_mean_abs,seas_areaW_mean_abs,seas_sd_abs,seas_min_abs,seas_max_abs,seas_se_abs
ssp245_aqueous_NA_SPSS,1,1850s,-3.829155098,-3.757713159,0.710427815,-7.254734325,-1.848675445,0.008140601,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,13.28547225,13.1683199,1.212014465,8.327110942,23.2108537,0.013888148
ssp245_aqueous_NA_SPSS,10,1850s,-3.526434096,-3.445403252,0.685000788,-5.959201894,-1.937433567,0.00784924,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,12.26608893,12.14697967,1.234018253,7.514136803,20.23503231,0.014140283
ssp245_aqueous_NA_SPSS,11,1850s,-3.697679405,-3.616404194,0.67868295,-7.5594047,-2.020971515,0.007776845,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,12.71026247,12.57026498,1.224240979,8.004434553,21.14300985,0.014028248
ssp245_aqueous_NA_SPSS,12,1850s,-3.821719613,-3.744324086,0.696872764,-7.4569953,-2.076402858,0.007985278,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,13.0544879,12.92042226,1.219417207,8.135673613,22.46464054,0.013972974
ssp245_aqueous_NA_SPSS,2,1850s,-3.843527141,-3.776123673,0.72878695,-7.891644064,-1.784097845,0.008350974,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,13.42997554,13.32627005,1.19971971,8.627713122,23.69894473,0.013747266
ssp245_aqueous_NA_SPSS,3,1850s,-3.836574078,-3.77275263,0.748054703,-7.075381404,-1.739565788,0.008571758,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,13.46876329,13.36788325,1.181026356,9.010585938,24.35058647,0.013533064
ssp245_aqueous_NA_SPSS,4,1850s,-3.746121377,-3.684742724,0.76777629,-7.244290947,-1.794212178,0.008797742,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,13.22674653,13.10726383,1.220897627,7.707645675,25.59093701,0.013989938
ssp245_aqueous_NA_SPSS,5,1850s,-3.419496284,-3.396035729,0.876764404,-6.51925677,-0.726516303,0.010046608,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,12.2881161,12.18301208,1.530166299,6.933778935,24.44507582,0.017533764
ssp245_aqueous_NA_SPSS,6,1850s,-3.140006143,-3.148993447,0.939092357,-6.633155928,1.66949302,0.010760807,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,11.54665423,11.51861117,1.785316528,7.266582625,23.18685876,0.020457462
ssp245_aqueous_NA_SPSS,7,1850s,-3.220405668,-3.202907436,0.884915945,-5.577376179,0.490563984,0.010140014,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,11.45589907,11.47641444,1.621272572,7.42376443,22.70620306,0.018577727
ssp245_aqueous_NA_SPSS,8,1850s,-3.267889479,-3.222603487,0.820635992,-5.307309886,-1.407530539,0.009403447,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,11.55464467,11.54911071,1.476863397,7.455685832,21.38745855,0.016922981
ssp245_aqueous_NA_SPSS,9,1850s,-3.3693062,-3.301798554,0.723501276,-5.251491051,-1.866068959,0.008290407,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,11.83052512,11.76521957,1.316215875,7.408517833,20.26408399,0.015082164
ssp245_aqueous_NA_SPSS,1,2090s,11.00123529,10.82784055,2.43775992,5.234748653,17.66221485,0.027933636,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,28.11586264,27.75387361,3.584847805,16.14663844,43.0238951,0.041077807
ssp245_aqueous_NA_SPSS,10,2090s,10.10292075,9.882239869,2.283425257,5.1605034,16.38820004,0.026165156,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,25.89544378,25.47462279,2.996090953,15.66341148,35.78447985,0.034331401
ssp245_aqueous_NA_SPSS,11,2090s,10.35569754,10.13748291,2.303550298,5.301162338,17.64050233,0.026395764,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,26.76363942,26.32415209,3.24325593,15.79313302,37.20564493,0.037163598
ssp245_aqueous_NA_SPSS,12,2090s,10.65966372,10.46519728,2.347030961,5.241863808,17.27839449,0.026893997,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,27.53587123,27.12994362,3.426587005,15.74074602,40.27716669,0.039264339
ssp245_aqueous_NA_SPSS,2,2090s,11.24832404,11.0839974,2.491906292,5.445717607,18.13604538,0.028554084,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,28.52182671,28.18639112,3.686197897,16.59448234,43.36493376,0.042239151
ssp245_aqueous_NA_SPSS,3,2090s,11.38875436,11.23437724,2.508141523,5.246748352,18.25680821,0.02874012,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,28.69409173,28.37501313,3.722769716,16.93068724,43.95354171,0.042658218
ssp245_aqueous_NA_SPSS,4,2090s,11.32836173,11.22673039,2.507502575,4.674301415,18.40314354,0.028732798,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,28.30122964,28.01873694,3.651535361,17.12393403,43.69183058,0.041841962
ssp245_aqueous_NA_SPSS,5,2090s,11.05970031,11.05750181,2.356665901,4.708004873,18.09023954,0.027004401,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,26.7673127,26.63654962,3.285118824,16.31171567,40.15294108,0.037643294
ssp245_aqueous_NA_SPSS,6,2090s,11.11872209,11.11840886,2.749379001,5.446747031,17.9910056,0.031504395,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,25.80538246,25.78601348,3.078886863,16.05497602,40.1625713,0.035280137
ssp245_aqueous_NA_SPSS,7,2090s,10.99779024,10.87112504,2.79784169,5.312792708,17.87329758,0.032059716,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,25.67409497,25.55044692,2.94417677,16.03108708,38.40493703,0.03373653
ssp245_aqueous_NA_SPSS,8,2090s,10.54447267,10.37236378,2.616355109,4.987866051,17.19182119,0.02998011,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,25.36700682,25.14407798,2.78507641,15.83477394,35.68421735,0.031913442
ssp245_aqueous_NA_SPSS,9,2090s,10.11727665,9.928631512,2.377097321,5.09566228,16.55940618,0.027238519,7616,ssp245,aqueous,NA_SPSS,NA,SPSS,25.31710797,24.99564964,2.771349369,15.58066131,34.44578618,0.031756148
ssp245_aqueous_NA_STPS,1,1850s,-2.215547901,-2.210141804,0.153130814,-3.061283487,-1.814235742,0.001765028,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.286609058,8.265328952,0.574111668,7.424982435,10.45669809,0.00661737
ssp245_aqueous_NA_STPS,10,1850s,-2.266944902,-2.261326522,0.164032191,-3.094029661,-1.5580016,0.00189068,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.380859003,8.360146302,0.600034518,7.192342998,10.79628499,0.006916164
ssp245_aqueous_NA_STPS,11,1850s,-2.245630789,-2.240456183,0.158499306,-3.089743932,-1.655301963,0.001826907,7527,ssp245,aqueous,NA_STPS,NA,STPS,8.293072658,8.274442993,0.565771933,7.117078678,10.62632624,0.006521244
