"","FINAL_TREAT","TIME_TREAT","Study_DOI","CO2_mean","HCO3_mean","CO3_mean","Temp_mean","DIC_mean","pHT_mean","Temp_sd","CO2_sd","CO3_sd","HCO3_sd","DIC_sd","pHT_sd"
"537","175.62","No Comment","10.1594/PANGAEA.835214",175.62,2303.29,18.2,10,2497.11,7.11111850726548,NA,NA,NA,NA,NA,NA
"539","18-1000","day 1","10.1594/PANGAEA.966813",24.46,2133.94,121.715,18,2280.115,7.83546277196028,0,0.0527046276694737,0.247711750046522,4.36394317103223,4.66435954874831,4.27274350471757e-06
"540","18-1000","day 2","10.1594/PANGAEA.966813",28.225,2159.96,107.37,18,2295.555,7.77570791290254,0,0.384743781987153,1.33869754280462,2.10818510677892,1.15423134596149,0.00583895448672964
"542","18-400","day 1","10.1594/PANGAEA.966813",10.81,1897.8,217.505,18,2126.115,8.13835429435285,0,0.52704627669473,6.73038095339169,20.0593812910014,13.8560466143044,0.0180330465582882
"543","18-400","day 2","10.1594/PANGAEA.966813",11.34,1913.45,210.495,18,2135.285,8.12018345205088,0,1.02246977678778,11.6635341032544,33.1828335807002,22.5417692542336,0.0316186373362616
"544","18.02","No Comment","10.1594/PANGAEA.869122",18.02,2178.78,133.35,-1.8,2330.15,8.19987031001561,NA,NA,NA,NA,NA,NA
"545","18.05","No Comment","10.1594/PANGAEA.943274",18.05,1901.16,133.09,17.62,2052.3,7.93068494171586,NA,NA,NA,NA,NA,NA
"546","18.12","No Comment","10.1594/PANGAEA.869122",18.12,2091.835,122.27,-1.8,2232.225,8.17988315762038,0,0,0.0424264068711945,0.742462120246004,0.784888527117479,3.44999201793037e-06
"547","18.13","No Comment","10.1594/PANGAEA.726883",18.13,1926.88,126.77,15,2071.78,7.94716269025422,NA,NA,NA,NA,NA,NA
"548","18.14","No Comment","10.1594/PANGAEA.869122",18.14,2093.77,122.38,-1.8,2234.29,8.17987214603996,NA,NA,NA,NA,NA,NA
"549","18.16","No Comment","10.1594/PANGAEA.836367",18.16,1986.23,154.29,20,2158.68,7.93685499631607,NA,NA,NA,NA,NA,NA
"550","18.21","Mean","10.1594/PANGAEA.733912",18.21,1903.1,140.695,19,2062.005,7.93170337556172,0,0,0,0,0,0
"551","18.21","No Comment","10.1594/PANGAEA.869122",18.21,2102.25,122.875,-1.8,2243.335,8.17986983806919,0,0,0.0212132034355972,0.254558441226926,0.275771644662342,2.23887270814763e-05
"552","18.22","No Comment","10.1594/PANGAEA.849402",18.22,1952.06,135.36,15,2105.64,7.96999805228878,NA,NA,NA,NA,NA,NA
"553","18.22","No Comment","10.1594/PANGAEA.887739",18.22,2030.61,156.48,20,2205.31,7.93337907131061,NA,NA,NA,NA,NA,NA
"554","18.22","No Comment","10.1594/PANGAEA.960341",18.22,1964.52,135.06,16,2117.8,7.94962777074125,0,0,0,0,0,0
"556","18.24","No Comment","10.1594/PANGAEA.869122",18.24,2154.71,128.87,-1.8,2301.82,8.18985367132025,NA,NA,NA,NA,NA,NA
"557","18.32","No Comment","10.1594/PANGAEA.949913",18.32,1804.29,113.39,17,1936,7.89405944608521,NA,NA,NA,NA,NA,NA
"558","18.35","No Comment","10.1594/PANGAEA.892370",18.35,1939.17,108.14,2,2065.66,8.09905458128742,NA,NA,NA,NA,NA,NA
"559","18.35, Temp2","No Comment","10.1594/PANGAEA.892370",18.35,1939.17,108.14,2.2,2065.66,8.09550604300203,NA,NA,NA,NA,NA,NA
"560","18.37","No Comment","10.1594/PANGAEA.887739",18.37,2053.47,158.7,20,2230.54,7.9346353187676,NA,NA,NA,NA,NA,NA
"561","18.42","No Comment","10.1594/PANGAEA.869122",18.42,2175.57,130.12,-1.8,2324.11,8.1898616631497,NA,NA,NA,NA,NA,NA
"562","18.42","No Comment","10.1594/PANGAEA.887739",18.42,2021.54,153.37,20,2193.33,7.92660483294036,NA,NA,NA,NA,NA,NA
"563","18.44","No Comment","10.1594/PANGAEA.869122",18.44,2178.19,130.28,-1.8,2326.91,8.18987266003871,NA,NA,NA,NA,NA,NA
"564","18.46","No Comment","10.1594/PANGAEA.869122",18.46,2181.12,130.45,-1.8,2330.03,8.18985519338273,NA,NA,NA,NA,NA,NA
"565","18.47","No Comment","10.1594/PANGAEA.869122",18.47,2132.43,124.64,-1.8,2275.54,8.17987332660433,NA,NA,NA,NA,NA,NA
"566","18.5","No Comment","10.1594/PANGAEA.869122",18.5,2087.15,119.22,-1.8,2224.87,8.16988612530914,NA,NA,NA,NA,NA,NA
"567","18.57","Mean","10.1594/PANGAEA.733912",18.57,1907.96,137.47,19,2064,7.92052498811098,0,0,0,0,0,0
"568","18.59","No Comment","10.1594/PANGAEA.869122",18.59,2097.7,119.82,-1.8,2236.11,8.16987660707516,NA,NA,NA,NA,NA,NA
"569","18.6","No Comment","10.1594/PANGAEA.869122",18.6,2098.09,119.84,-1.8,2236.53,8.16986835655863,NA,NA,NA,NA,NA,NA
"570","18.61","No Comment","10.1594/PANGAEA.869122",18.61,2099.92,119.94,-1.8,2238.47,8.16985196465972,NA,NA,NA,NA,NA,NA
"571","18.64","No Comment","10.1594/PANGAEA.869122",18.64,2136.04333333333,123.986666666667,-1.8,2278.67,8.17654356773226,0,0,6.71459107714933,57.6228447174672,64.337420681902,0.0115467802751308
"572","18.67","No Comment","10.1594/PANGAEA.869122",18.67,2205.43,131.905,-1.8,2356.005,8.1898586508315,0,0,0.0212132034355972,0.38183766184071,0.403050865276448,5.34764812584619e-06
"573","18.67","No Comment","10.1594/PANGAEA.960341",18.67,1967.49,132.19,16,2118.35,7.93964354880843,0,0,0,0,0,0
"574","18.69","No Comment","10.1594/PANGAEA.869122",18.69,2107.97,120.4,-1.8,2247.06,8.16985273111183,NA,NA,NA,NA,NA,NA
"575","18.7","No Comment","10.1594/PANGAEA.835214",18.7,1963.75,144.25,20,2126.7,7.91257637823922,NA,NA,NA,NA,NA,NA
"576","18.72","No Comment","10.1594/PANGAEA.869122",18.72,2211.47,132.27,-1.8,2362.46,8.18987097130688,NA,NA,NA,NA,NA,NA
"577","18.8","No Comment","10.1594/PANGAEA.869122",18.8,2195.96,129.865,-1.8,2344.625,8.18487268076935,0,0,4.20728534805996,35.4543340086937,39.6616193567539,0.00706036429588946
"578","18.81","No Comment","10.1594/PANGAEA.869122",18.81,2171.93,126.95,-1.8,2317.69,8.17987755114285,NA,NA,NA,NA,NA,NA
"579","18.86","No Comment","10.1594/PANGAEA.869122",18.86,2177.69,127.28,-1.8,2323.83,8.17985477982577,NA,NA,NA,NA,NA,NA
"580","18.94","No Comment","10.1594/PANGAEA.892370",18.94,1973.98,108.57,2,2101.49,8.09305118948066,NA,NA,NA,NA,NA,NA
"581","18.94, Temp2","No Comment","10.1594/PANGAEA.892370",18.94,1973.98,108.57,2.2,2101.49,8.08950265119527,NA,NA,NA,NA,NA,NA
"582","18.97","No Comment","10.1594/PANGAEA.869122",18.97,2189.75,127.99,-1.8,2336.71,8.17987217407657,NA,NA,NA,NA,NA,NA
"583","18.98","No Comment","10.1594/PANGAEA.836367",18.98,2001.33,149.84,20,2170.15,7.9208558133176,NA,NA,NA,NA,NA,NA
"584","180","No Comment","10.1594/PANGAEA.973814",4.585,1500.745,382.175,27,1887.505,8.3399326866391,0,0.290292955477738,14.6406239621131,18.1898661347465,3.83953512811108,0.0219081464001393
"586","184.52","No Comment","10.1594/PANGAEA.758212",184.52,20025.74,1370.35,20,21580.61,7.88178968529618,NA,NA,NA,NA,NA,NA
"587","19.04","No Comment","10.1594/PANGAEA.869122",19.04,2197.93,128.47,-1.8,2345.44,8.17987853731429,NA,NA,NA,NA,NA,NA
"588","19.05","No Comment","10.1594/PANGAEA.835214",19.05,1890.51,142.74,25,2052.3,7.84391820559739,NA,NA,NA,NA,NA,NA
"589","19.2","No Comment","10.1594/PANGAEA.861380",19.2,2203.2,163.7,15,2386.1,7.99999562543407,0,0,0,0,0,0
"590","19.2","No Comment","10.1594/PANGAEA.920269",19.2,2203.2,163.7,15,2386.1,7.99999562543407,0,0,0,0,0,0
"591","19.25","No Comment","10.1594/PANGAEA.869122",19.25,2222.76,129.92,-1.8,2371.93,8.17987410914782,NA,NA,NA,NA,NA,NA
"592","19.29","No Comment","10.1594/PANGAEA.869122",19.29,2175.85,124.28,-1.8,2319.42,8.16986296219292,NA,NA,NA,NA,NA,NA
"593","19.33","No Comment","10.1594/PANGAEA.869122",19.33,2206.355,127.51,-1.8,2353.195,8.17487347061859,0,0,4.14364573775317,35.8291006027224,39.9727463404757,0.00706275526545023
"594","19.4","No Comment","10.1594/PANGAEA.887739",19.4,2042.15,148.63,20,2210.18,7.90856559353157,NA,NA,NA,NA,NA,NA
"595","19.43","No Comment","10.1594/PANGAEA.869122",19.43,2192.48,125.23,-1.8,2337.14,8.1698634102239,NA,NA,NA,NA,NA,NA
"596","19.44","No Comment","10.1594/PANGAEA.834251",19.44,2005.73,122.83,10,2148,8.00042772282918,NA,NA,NA,NA,NA,NA
"597","19.45","No Comment","10.1594/PANGAEA.869122",19.45,2194.23,125.33,-1.8,2339.01,8.16986356116137,NA,NA,NA,NA,NA,NA
"598","19.5","No Comment","10.1594/PANGAEA.869122",19.5,2199.82,125.65,-1.8,2344.97,8.16986601677002,NA,NA,NA,NA,NA,NA
"599","19.52","No Comment","10.1594/PANGAEA.869122",19.52,2202.01,125.78,-1.8,2347.31,8.16988297351346,NA,NA,NA,NA,NA,NA
"600","19.53","No Comment","10.1594/PANGAEA.892370",19.53,1963.99,109.52,6,2093.04,8.02872155675443,NA,NA,NA,NA,NA,NA
"601","19.53, Temp2","No Comment","10.1594/PANGAEA.892370",19.53,1963.99,109.52,6.3,2093.04,8.02350262846013,NA,NA,NA,NA,NA,NA
"602","19.57","No Comment","10.1594/PANGAEA.887739",19.57,2042.92,147.46,20,2209.95,7.9049696238742,NA,NA,NA,NA,NA,NA
"603","19.62","No Comment","10.1594/PANGAEA.869122",19.62,2162.95,120.73,-1.8,2303.3,8.15985939050398,NA,NA,NA,NA,NA,NA
"604","19.63","No Comment","10.1594/PANGAEA.726883",19.63,1912.25,115.26,15,2047.14,7.90913481458598,NA,NA,NA,NA,NA,NA
"605","19.63","No Comment","10.1594/PANGAEA.869122",19.63,2214.72,126.5,-1.8,2360.85,8.16986236797622,NA,NA,NA,NA,NA,NA
"606","19.68","No Comment","10.1594/PANGAEA.861255",19.68,3521.32,395.68,15,3936.68,8.17963947457205,0,0,0,0,0,0
"607","19.68","No Comment","10.1594/PANGAEA.869122",19.68,2220.76,126.85,-1.8,2367.29,8.16987951518543,NA,NA,NA,NA,NA,NA
"608","19.77","No Comment","10.1594/PANGAEA.892370",19.77,2004,107.22,2,2130.99,8.08106218551148,NA,NA,NA,NA,NA,NA
"609","19.77, Temp2","No Comment","10.1594/PANGAEA.892370",19.77,2004,107.22,2.2,2130.99,8.07751364722609,NA,NA,NA,NA,NA,NA
"610","19.8","No Comment","10.1594/PANGAEA.883475",19.8,2095.36,164.79,24,2279.95,7.87759780535515,0,0,0,0,0,0
"611","19.83","No Comment","10.1594/PANGAEA.834251",19.83,1938.97,144.19,25,2102.99,7.83731554427645,NA,NA,NA,NA,NA,NA
"612","19.84","No Comment","10.1594/PANGAEA.949280",19.84,1894.52,117.08,15,2031.44,7.91998438831729,NA,NA,NA,NA,NA,NA
"613","19.96","No Comment","10.1594/PANGAEA.892370",19.96,1979.9,108.89,6,2108.75,8.02271213596246,NA,NA,NA,NA,NA,NA
"614","19.96, Temp2","No Comment","10.1594/PANGAEA.892370",19.96,1979.9,108.89,6.3,2108.75,8.01749320766815,NA,NA,NA,NA,NA,NA
"616","1N HL 1000","at the beginning","10.1594/PANGAEA.913444",38.88,2152.38,73.74,9.9,2265,7.74988820941122,NA,NA,NA,NA,NA,NA
"617","1N HL 1000","at the end","10.1594/PANGAEA.913444",35.69,2130.6,78.71,9.9,2245,7.78263201376382,NA,NA,NA,NA,NA,NA
"619","1N HL 1000, Temp2","at the beginning","10.1594/PANGAEA.913444",38.88,2152.38,73.74,15,2265,7.66378505429335,0,0,0,0,0,0
"620","1N HL 1000, Temp2","at the end","10.1594/PANGAEA.913444",35.69,2130.6,78.71,15,2245,7.69652885864594,0,0,0,0,0,0
"622","1N HL 400","at the beginning","10.1594/PANGAEA.913444",15.66,1970.87,153.47,9.4,2140,8.11502314199893,NA,NA,NA,NA,NA,NA
"623","1N HL 400","at the end","10.1594/PANGAEA.913444",13.93,1937.34,166.73,9.4,2118,8.15846553252231,NA,NA,NA,NA,NA,NA
"625","1N HL 400, Temp2","at the beginning","10.1594/PANGAEA.913444",15.66,1970.87,153.47,15,2140,8.02036638320404,0,0,0,0,0,0
"626","1N HL 400, Temp2","at the end","10.1594/PANGAEA.913444",13.93,1937.34,166.73,15,2118,8.06380877372742,0,0,0,0,0,0
"628","1N LL 1000","at the beginning","10.1594/PANGAEA.913444",40.76,2150.99,70.25,11.9,2262,7.6950995800061,NA,NA,NA,NA,NA,NA
"629","1N LL 1000","at the end","10.1594/PANGAEA.913444",33.4,2101.75,81.86,11.9,2217.01,7.77158232699655,NA,NA,NA,NA,NA,NA
"631","1N LL 1000, Temp2","at the beginning","10.1594/PANGAEA.913444",40.76,2150.99,70.25,15,2262,7.64300880616457,0,0,0,0,0,0
"632","1N LL 1000, Temp2","at the end","10.1594/PANGAEA.913444",33.4,2101.75,81.86,15,2217.01,7.71949155315503,0,0,0,0,0,0
"634","1N LL 400","at the beginning","10.1594/PANGAEA.913444",15.55,1962.22,153.23,15.4,2131,8.01493034112105,NA,NA,NA,NA,NA,NA
"635","1N LL 400","at the end","10.1594/PANGAEA.913444",14.29,1925.17,160.54,15.4,2100,8.04344841071181,NA,NA,NA,NA,NA,NA
"637","1N LL 400, Temp2","at the beginning","10.1594/PANGAEA.913444",15.55,1962.22,153.23,15,2131,8.02159697255495,0,0,0,0,0,0
"638","1N LL 400, Temp2","at the end","10.1594/PANGAEA.913444",14.29,1925.17,160.54,15,2100,8.05011504214571,0,0,0,0,0,0
"639","2","No Comment","10.1594/PANGAEA.727288",26.3975,3919.265,391.8525,20,4337.515,8.04864405021886,0,18.3716436844031,282.272507856622,2763.65754141741,3062.29539916819,0.0435784369813298
"640","2","No Comment","10.1594/PANGAEA.837755",55.746,2171.884,65.51,26,2293.14,7.4295076690056,0,0.982995422166349,0.629603049547886,10.630316552201,11.1167891047729,0.0057833362469545
"641","2","No Comment","10.1594/PANGAEA.959616",17.37,2001.36,161.27,20,2180,7.9527751248605,NA,NA,NA,NA,NA,NA
"642","2, Temp2","No Comment","10.1594/PANGAEA.837755",55.746,2171.884,65.51,26,2293.14,7.4295076690056,0,0.982995422166349,0.629603049547886,10.630316552201,11.1167891047729,0.0057833362469545
"643","2.03","No Comment","10.1594/PANGAEA.835214",2.03,1186.19,448.98,15,1637.2,8.70707360608454,NA,NA,NA,NA,NA,NA
"644","2.04","No Comment","10.1594/PANGAEA.849402",2.04,1144.17,448.69,20,1594.9,8.64000258850503,NA,NA,NA,NA,NA,NA
"646","2.09","No Comment","10.1594/PANGAEA.849402",2.09,1146.79,439.48,20,1588.36,8.63000197305682,NA,NA,NA,NA,NA,NA
"648","2.13","No Comment","10.1594/PANGAEA.849402",2.13,1166.99,447.22,20,1616.34,8.63000083716511,NA,NA,NA,NA,NA,NA
"650","2.18","No Comment","10.1594/PANGAEA.849402",2.18,1168.42,437.57,20,1608.17,8.6199953111352,NA,NA,NA,NA,NA,NA
"652","2.24","No Comment","10.1594/PANGAEA.849402",2.24,1182.54,392.15,15,1576.93,8.64963724839727,NA,NA,NA,NA,NA,NA
"654","2.25","No Comment","10.1594/PANGAEA.849402",2.25,1176.97,430.74,20,1609.96,8.60999656500186,NA,NA,NA,NA,NA,NA
"656","2.31","No Comment","10.1594/PANGAEA.849402",2.31,1220.22,404.65,15,1627.18,8.6496422746508,NA,NA,NA,NA,NA,NA
"658","2.33","No Comment","10.1594/PANGAEA.849402",2.33,1192,426.32,20,1620.65,8.60000620628812,NA,NA,NA,NA,NA,NA
"660","2.34","No Comment","10.1594/PANGAEA.849402",2.34,1207.63,391.36,15,1601.33,8.6396434110426,NA,NA,NA,NA,NA,NA
"662","2.39","No Comment","10.1594/PANGAEA.849402",2.39,1202.49,380.82,15,1585.7,8.62963914419825,NA,NA,NA,NA,NA,NA
"664","2.4","No Comment","10.1594/PANGAEA.849402",2.4,1200.43,419.56,20,1622.39,8.59000399083763,NA,NA,NA,NA,NA,NA
"666","2.46","No Comment","10.1594/PANGAEA.849402",2.46,1210.18,374.53,15,1587.17,8.61963750821999,NA,NA,NA,NA,NA,NA
"668","2.47","No Comment","10.1594/PANGAEA.849402",2.47,1217.32,376.74,15,1596.53,8.61963784504554,NA,NA,NA,NA,NA,NA
"670","2.48","No Comment","10.1594/PANGAEA.849402",2.48,1215.845,395.705,17.5,1614.03,8.59982071554964,3.53553390593274,0,25.4487730549039,6.51245345472813,18.9363196001757,0.0280277961680094
"672","2.55","No Comment","10.1594/PANGAEA.849402",2.55,1254.72,388.32,15,1645.59,8.61964380730272,NA,NA,NA,NA,NA,NA
"674","2.58","No Comment","10.1594/PANGAEA.849402",2.58,1213.91,358.78,15,1575.27,8.59964260538224,NA,NA,NA,NA,NA,NA
"676","2.59","No Comment","10.1594/PANGAEA.849402",2.59,1237.6,413.08,20,1653.27,8.57000062211705,NA,NA,NA,NA,NA,NA
"678","2.61","No Comment","10.1594/PANGAEA.835214",2.61,1271.75,433.64,20,1708,8.57927434390515,NA,NA,NA,NA,NA,NA
"679","2.61","No Comment","10.1594/PANGAEA.849402",2.61,1251.955,398.16,17.5,1652.725,8.58982087763256,3.53553390593274,0,24.9608693758851,8.73276874765396,16.2281006282311,0.0280304875895726
"681","2.64","No Comment","10.1594/PANGAEA.849402",2.64,1241.01,366.79,15,1610.44,8.59964307464482,NA,NA,NA,NA,NA,NA
"683","2.65","No Comment","10.1594/PANGAEA.849402",2.65,1247.37,368.67,15,1618.69,8.59964337308268,NA,NA,NA,NA,NA,NA
"685","2.71","No Comment","10.1594/PANGAEA.849402",2.71,1237.03,394.31,20,1634.05,8.55000431360101,NA,NA,NA,NA,NA,NA
"687","2.87","No Comment","10.1594/PANGAEA.849402",2.87,1291.36,364.49,15,1658.72,8.57963915666004,NA,NA,NA,NA,NA,NA
"689","2.88","No Comment","10.1594/PANGAEA.849402",2.88,1284.6,400.15,20,1687.63,8.54000165801137,NA,NA,NA,NA,NA,NA
"691","2.98","No Comment","10.1594/PANGAEA.849402",2.98,1295.11,394.24,20,1692.33,8.53000078387841,NA,NA,NA,NA,NA,NA
"693","20.08","No Comment","10.1594/PANGAEA.869122",20.08,2213.59,123.56,-1.8,2357.23,8.15987138546348,NA,NA,NA,NA,NA,NA
"694","20.11","No Comment","10.1594/PANGAEA.949913",20.11,1862.8,110.09,17,1993,7.86737267537115,NA,NA,NA,NA,NA,NA
"695","20.15","No Comment","10.1594/PANGAEA.835214",20.15,1982.26,126.19,15,2128.6,7.93286519185299,NA,NA,NA,NA,NA,NA
"696","20.15","No Comment","10.1594/PANGAEA.869122",20.15,2221.21,123.98,-1.8,2365.34,8.1598526820199,NA,NA,NA,NA,NA,NA
"697","20.16","No Comment","10.1594/PANGAEA.887739",20.16,2048.53,143.9,20,2212.59,7.8931652199707,NA,NA,NA,NA,NA,NA
"698","20.17","No Comment","10.1594/PANGAEA.869122",20.17,2223.63,124.12,-1.8,2367.92,8.15986991226746,NA,NA,NA,NA,NA,NA
"699","20.18","No Comment","10.1594/PANGAEA.849402",20.18,1888.64,120.02,20,2028.84,7.84965119340571,NA,NA,NA,NA,NA,NA
"701","20.25","No Comment","10.1594/PANGAEA.869122",20.25,2233.02,124.64,-1.8,2377.91,8.15985549751463,NA,NA,NA,NA,NA,NA
"702","20.31","No Comment","10.1594/PANGAEA.835214",20.31,2017.93,120.76,10,2159,7.99041274877541,NA,NA,NA,NA,NA,NA
"703","20.39","Mean","10.1594/PANGAEA.733912",20.39,1922.89,123.725,19,2067.005,7.87138934260268,0,0,0,0,0,0
"704","20.48","No Comment","10.1594/PANGAEA.869122",20.48,2206.9,120.38,-1.8,2347.76,8.14986235434428,NA,NA,NA,NA,NA,NA
"705","20.51","No Comment","10.1594/PANGAEA.869122",20.51,2210.07,120.55,-1.8,2351.13,8.14985185533744,NA,NA,NA,NA,NA,NA
"706","20.52","No Comment","10.1594/PANGAEA.892370",20.52,2007.53,108.9,6,2136.95,8.01673322957255,NA,NA,NA,NA,NA,NA
"707","20.52, Temp2","No Comment","10.1594/PANGAEA.892370",20.52,2007.53,108.9,6.3,2136.95,8.01151430127825,NA,NA,NA,NA,NA,NA
"708","20.56","No Comment","10.1594/PANGAEA.869122",20.56,2215.48,120.85,-1.8,2356.89,8.14986949092866,NA,NA,NA,NA,NA,NA
"709","20.64","No Comment","10.1594/PANGAEA.869122",20.64,2173.53,115.86,-1.8,2310.03,8.13985855529981,NA,NA,NA,NA,NA,NA
"710","20.67","No Comment","10.1594/PANGAEA.869122",20.67,2226.92,121.47,-1.8,2369.06,8.14985508581838,NA,NA,NA,NA,NA,NA
"711","20.68","Mean","10.1594/PANGAEA.733912",20.68,1930.64,122.675,19,2073.995,7.86594108777686,0,0,0,0,0,0
"712","20.69","No Comment","10.1594/PANGAEA.834251",20.69,1983.3,131,20,2134.99,7.86642963823462,NA,NA,NA,NA,NA,NA
"713","20.69","No Comment","10.1594/PANGAEA.869122",20.69,2228.72,121.57,-1.8,2370.98,8.14986157638187,NA,NA,NA,NA,NA,NA
"714","20.71","No Comment","10.1594/PANGAEA.869122",20.71,2180.98,116.26,-1.8,2317.95,8.13986930561117,NA,NA,NA,NA,NA,NA
"715","20.75","No Comment","10.1594/PANGAEA.726883",20.75,1868.32,104.11,15,1993.18,7.87504205254816,NA,NA,NA,NA,NA,NA
"717","20.76","final","10.1594/PANGAEA.849339",20.94,1962.01,126.06,20,2109.01,7.85442284068132,0,0,0,0,0,0
"718","20.76","initial","10.1594/PANGAEA.849339",20.76,1989.51,130.73,20,2141,7.86417588922946,0,0,0,0,0,0
"719","20.82","No Comment","10.1594/PANGAEA.869122",20.82,2192.37,116.87,-1.8,2330.06,8.1398798634325,NA,NA,NA,NA,NA,NA
"720","20.87","No Comment","10.1594/PANGAEA.869122",20.87,2196.92,117.11,-1.8,2334.9,8.1398704084604,NA,NA,NA,NA,NA,NA
"721","20.88","Mean","10.1594/PANGAEA.733912",20.88,1933.82,121.805,19,2076.505,7.86213538963087,0,0,0,0,0,0
"722","20.99","No Comment","10.1594/PANGAEA.868682",20.99,2029.14,125.07,15,2175.2,7.91884200667616,0,0,0,0,0,0
"723","200","No Comment","10.1594/PANGAEA.907928",6.2,1634.01,301.4,20,1941.61,8.31231868276212,0,0.277308492477241,10.0767901635392,28.2637948619784,31.4745150876069,0.0152782914497704
"724","200-Premodern","No Comment","10.1594/PANGAEA.911407",9.07333333333333,1572.95666666667,181.54,18,1763.57,8.13855249959505,0,1.70462117003554,27.0943019839966,43.7524540264124,21.7000622118923,0.0746430516191257
"725","2000ppm-1000ppm","No Comment","10.1594/PANGAEA.863127",34.87,2183.04,90.65,18,2308.56,7.69760697993422,0,0,0,0,0,0
"726","2000ppm-1000ppmfluc","No Comment","10.1594/PANGAEA.863127",34.87,2183.04,90.65,18,2308.56,7.69760697993422,0,0,0,0,0,0
"727","2000ppm-400ppm","No Comment","10.1594/PANGAEA.863127",15.23,1931.69,159.84,18,2106.76,7.99704890422007,0,0,0,0,0,0
"728","2000ppm-400ppmfluc","No Comment","10.1594/PANGAEA.863127",16.87,1979.22,151.93,18,2148.02,7.96445033188434,0,0,0,0,0,0
"729","201.57","No Comment","10.1594/PANGAEA.835214",201.57,2295.12,16.91,15,2513.6,6.99633907904489,NA,NA,NA,NA,NA,NA
"730","21","No Comment","10.1594/PANGAEA.826456",21,1866,106,17,1993,7.85018525876287,NA,NA,NA,NA,NA,NA
"731","21","No Comment","10.1594/PANGAEA.833817",21,2038,151,25,2210,7.83572425973838,0,0,0,0,0,0
"733","21-1000","day 1","10.1594/PANGAEA.966813",23.15,2112.175,133.505,21,2268.83,7.83067186090931,0,1.29653384066903,5.92927061281571,13.9509149441094,9.31817817196274,0.0221680159907746
"734","21-1000","day 2","10.1594/PANGAEA.966813",21.92,2093.34,138.365,21,2253.625,7.85016125853749,0,1.27545198960125,5.62358377233276,19.1317798440186,14.7836480612873,0.0216291043259966
"736","21-400","day 1","10.1594/PANGAEA.966813",9.175,1828.545,250.915,21,2088.635,8.16755247032832,0,0.258252675580418,6.96228131513737,2.90402498458796,3.80000365496878,0.0127431311083786
"737","21-400","day 2","10.1594/PANGAEA.966813",9.675,1844.855,242.84,21,2097.37,8.14963952557943,0,0.0368932393686312,0.99084700018609,7.54203221950156,8.56977245905618,3.42983925198555e-06
"738","21.02","No Comment","10.1594/PANGAEA.869122",21.02,2264.74,123.54,-1.8,2409.3,8.1498799163276,NA,NA,NA,NA,NA,NA
"739","21.07","No Comment","10.1594/PANGAEA.726883",21.07,1897.09,105.71,15,2023.87,7.87502900698473,NA,NA,NA,NA,NA,NA
"740","21.26","No Comment","10.1594/PANGAEA.835214",21.26,1989.65,120.48,15,2131.39,7.91113914155141,NA,NA,NA,NA,NA,NA
"741","21.32","No Comment","10.1594/PANGAEA.949913",21.32,1903.92,113.76,20,2039,7.82288764184739,NA,NA,NA,NA,NA,NA
"742","21.34","No Comment","10.1594/PANGAEA.869122",21.34,2196.17,114.4,-1.8,2331.91,8.12985073975848,NA,NA,NA,NA,NA,NA
"743","21.37","No Comment","10.1594/PANGAEA.847795",21.37,1994.64,101.12,3,2117.13,8.0399486833972,0,0,0,0,0,0
"744","21.4","No Comment","10.1594/PANGAEA.924611",21.4,2086.69,142.32,20,2250.41,7.88035475474366,NA,NA,NA,NA,NA,NA
"745","21.48","No Comment","10.1594/PANGAEA.924611",21.48,2066.76,139.11,20,2227.35,7.87461505744004,NA,NA,NA,NA,NA,NA
"746","21.51","No Comment","10.1594/PANGAEA.869122",21.51,2213.57,115.31,-1.8,2350.39,8.12986438188305,NA,NA,NA,NA,NA,NA
"747","21.64","No Comment","10.1594/PANGAEA.869122",21.64,2175.91,110.77,-1.8,2308.32,8.11987189762973,NA,NA,NA,NA,NA,NA
"748","21.71","No Comment","10.1594/PANGAEA.869122",21.71,2234.19,116.39,-1.8,2372.29,8.12988623458946,NA,NA,NA,NA,NA,NA
"749","21.81","No Comment","10.1594/PANGAEA.849402",21.81,1904.67,112.96,20,2039.44,7.81965169678746,NA,NA,NA,NA,NA,NA
"751","2100.82","No Comment","10.1594/PANGAEA.835394",2100.82,2299.4,179.27,28,4579.49,7.81034744251271,0,0,0,0,0,0
"752","2103.53","No Comment","10.1594/PANGAEA.835394",2103.53,2299.33,176.1,28,4578.96,7.80261240130568,0,0,0,0,0,0
"753","22","No Comment","10.1594/PANGAEA.826456",22,1907,110,20,2039,7.8075887465717,NA,NA,NA,NA,NA,NA
"754","22.01","No Comment","10.1594/PANGAEA.868682",22.01,2034.84,120.07,15,2176.92,7.89990511335339,0,0,0,0,0,0
"755","22.01","No Comment","10.1594/PANGAEA.887739",22.01,2083.36,136.32,20,2241.69,7.8623420103239,NA,NA,NA,NA,NA,NA
"756","22.05","Mean","10.1594/PANGAEA.733912",22.05,2019.6,127.36,19,2169.01,7.86265400937948,0,0,0,0,0,0
"757","22.11","No Comment","10.1594/PANGAEA.869122",22.11,2223.21,113.18,-1.8,2358.5,8.11987987239378,NA,NA,NA,NA,NA,NA
"758","22.17","No Comment","10.1594/PANGAEA.835214",22.17,2023.62,129.21,20,2175,7.85171391793069,NA,NA,NA,NA,NA,NA
