"","FINAL_TREAT","TIME_TREAT","Study_DOI","CO2_mean","HCO3_mean","CO3_mean","Temp_mean","DIC_mean","pHT_mean","Temp_sd","CO2_sd","CO3_sd","HCO3_sd","DIC_sd","pHT_sd"
"366","14.81","No Comment","10.1594/PANGAEA.846058",14.81,1957.14,167.35,15,2139.3,8.06100469249363,NA,NA,NA,NA,NA,NA
"367","14.81","No Comment","10.1594/PANGAEA.849402",14.81,1833.1,142.5,15,1990.41,8.0196295758658,NA,NA,NA,NA,NA,NA
"369","14.82","No Comment","10.1594/PANGAEA.883475",14.82,2064.49,193.95,18,2273.26,8.05217786525476,0,0,0,0,0,0
"370","14.83","No Comment","10.1594/PANGAEA.846058",14.83,1946.48,163.08,15,2124.39,8.05215162599549,NA,NA,NA,NA,NA,NA
"371","14.85","No Comment","10.1594/PANGAEA.846058",14.85,1944.5,162.55,15,2121.9,8.05117989528364,NA,NA,NA,NA,NA,NA
"372","14.85","No Comment","10.1594/PANGAEA.849402",14.85,1837.32,142.83,15,1995,8.01963550258972,NA,NA,NA,NA,NA,NA
"374","14.86","No Comment","10.1594/PANGAEA.861839",14.86,1997.88,171.26,14,2184,8.0788084116899,NA,NA,NA,NA,NA,NA
"375","14.86","No Comment","10.1594/PANGAEA.887739",14.86,1972,180.86,20,2167.72,8.00898237035946,NA,NA,NA,NA,NA,NA
"376","14.91","No Comment","10.1594/PANGAEA.846058",14.91,1958.16,166.43,15,2139.5,8.05838430727534,NA,NA,NA,NA,NA,NA
"377","14.94","No Comment","10.1594/PANGAEA.846058",14.94,1937.125,162.53,15,2114.595,8.0527758725303,0,0,0.523259018078052,2.87792459942936,3.40118361750726,0.000752978974412708
"378","14.95","No Comment","10.1594/PANGAEA.849402",14.95,1876.38,164.73,20,2056.06,7.98999865765621,NA,NA,NA,NA,NA,NA
"379","14.95","No Comment","10.1594/PANGAEA.861839",14.95,1970.44,165.62,14,2151.01,8.07027143655077,NA,NA,NA,NA,NA,NA
"381","14.97","No Comment","10.1594/PANGAEA.861839",14.97,1942.37,160.66,14,2118,8.06329767223811,NA,NA,NA,NA,NA,NA
"382","14.98","No Comment","10.1594/PANGAEA.869122",14.98,2127.91,153.01,-1.8,2295.9,8.26985722965848,NA,NA,NA,NA,NA,NA
"383","1400","No Comment","10.1594/PANGAEA.973814",36.405,1765.13,66.47,27,1868.005,7.50994885606611,0,0.914696671033628,1.68698547711591,0.317679083353081,1.08996788943529,0.0109460535494108
"384","1400 µatm+[NO3]-","No Comment","10.1594/PANGAEA.956021",36.95,2180.41,96.13,25,2313.49,7.61027226926555,0,0,0,0,0,0
"385","1400 µatm-[NO3]-","No Comment","10.1594/PANGAEA.956021",38.64,2177.02,91.66,25,2307.32,7.59026892615796,0,0,0,0,0,0
"386","145.41","No Comment","10.1594/PANGAEA.883475",145.41,2457.9,25.52,12,2628.83,7.19571590476283,0,0,0,0,0,0
"387","149.58","No Comment","10.1594/PANGAEA.924611",149.58,2284.26,24.4,20,2458.24,7.07519104596221,NA,NA,NA,NA,NA,NA
"388","15","No Comment","10.1594/PANGAEA.826456",15,1899,153,17,2067,8.00195749898916,NA,NA,NA,NA,NA,NA
"389","15.01","No Comment","10.1594/PANGAEA.846058",15.01,1958.63,165.36,15,2139,8.05547893031906,NA,NA,NA,NA,NA,NA
"390","15.03","No Comment","10.1594/PANGAEA.869122",15.03,2135.13,153.53,-1.8,2303.69,8.26985959722892,NA,NA,NA,NA,NA,NA
"391","15.08","No Comment","10.1594/PANGAEA.846058",15.08,1937.29,161.02,15,2113.39,8.04868605453214,NA,NA,NA,NA,NA,NA
"392","15.11","No Comment","10.1594/PANGAEA.846058",15.11,1945.84,159.95,15,2120.9,8.04387798655631,NA,NA,NA,NA,NA,NA
"393","15.11","No Comment","10.1594/PANGAEA.869122",15.11,2247.32,169.22,-1.8,2431.65,8.28987744393253,NA,NA,NA,NA,NA,NA
